"id","university","major","degree","season","decision","decision_method","decision_date","decision_timestamp","gpa","gre_verbal","gre_quant","gre_writing","status","post_data","post_timestamp","uni_faculty","uni_pub"
1,"Tufts University","CS","PhD","S16","Accepted","E-mail","16-11-2015",1447650000,3.6,166,163,4.5,"American","16-11-2015",1447650000,13,1.6
2,"Purdue University","CS","MS","S16","Rejected","E-mail","11-Feb-15",1446440400,3.5,156,169,3.5,"International","12/11/15",1447304400,53,4.8
3,"Northeastern University","CS","MS","S16","Accepted","E-mail","18-09-2015",1442548800,NA,158,163,3.5,"International","12/11/15",1447304400,55,4.7
4,"Purdue University","CS","MS","S16","Accepted","E-mail","31-10-2015",1446264000,3.5,156,169,3.5,"International","12/11/15",1447304400,53,4.8
5,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Accepted","E-mail","31-10-2015",1446264000,3.5,156,169,3.5,"International","12/11/15",1447304400,23,1.9
6,"Rutgers University","CS","MS","S16","Accepted","E-mail","30-10-2015",1446177600,3.5,156,169,3.5,"International","12/11/15",1447304400,43,3.6
7,"Northeastern University","CS","MS","S16","Accepted","E-mail","18-07-2015",1437192000,NA,158,163,3.5,"International","12/11/15",1447304400,55,4.7
8,"Iowa State University (ISU)","CS","MS","S16","Rejected","E-mail","11-Nov-15",1447218000,NA,NA,NA,NA,"International","12/11/15",1447304400,15,1.5
9,"Iowa State University (ISU)","CS","MS","S16","Rejected","E-mail","10-Nov-15",1444536000,3.5,144,167,3,"International","11/11/15",1447218000,15,1.5
10,"Duke University","CS","MS","S16","Accepted","E-mail","11-Apr-15",1446613200,NA,156,169,NA,"International","11/11/15",1447218000,22,2.8
11,"Duke University","ECE","PhD","S16","Rejected","E-mail","11-Sep-15",1447045200,3.2,156,147,3.5,"International","9/11/15",1447045200,22,2.8
12,"University Of Southern California (USC)","ECE","MS","S16","Accepted","Website","7-Aug-15",1436328000,3.3,147,161,3.5,"International","8/11/15",1446958800,50,5.7
13,"University Of Texas, Dallas (UT Dallas)","CS","MS","F16","Accepted","E-mail","11-Apr-15",1446613200,3.91,157,169,5.5,"International with US Degree","6/11/15",1446786000,34,2.3
14,"Purdue University","CS","MS","S16","Rejected","Website","30-10-2015",1446177600,NA,162,170,3.5,"International","5/11/15",1446699600,53,4.8
15,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Rejected","E-mail","27-10-2015",1445918400,NA,162,170,3.5,"International","5/11/15",1446699600,23,1.9
16,"Rutgers University","CS","MS","S16","Accepted","E-mail","11-May-15",1446699600,NA,162,170,3.5,"International","5/11/15",1446699600,NA,NA
17,"New York University (NYU)","CS","MS","S16","Accepted","E-mail","27-10-2015",1445918400,NA,NA,NA,NA,"International","5/11/15",1446699600,46,4.3
18,"Cornell University","CS","MEng","S16","Rejected","E-mail","11-Apr-15",1446613200,NA,NA,NA,NA,"International","4/11/15",1446613200,68,8.7
19,"University Of Illinois, Urbana-Champaign (UIUC)","ECE","PhD","S16","Accepted","E-mail","11-Mar-15",1446526800,3,149,164,2.5,"International","3/11/15",1446526800,83,9.9
20,"Cornell University","CS","MS","S16","Rejected","E-mail","11-Mar-15",1446526800,NA,NA,NA,NA,"International","3/11/15",1446526800,68,8.7
21,"Columbia University","CS","MS","S16","Accepted","E-mail","11-Feb-15",1446440400,NA,NA,NA,NA,"International","2/11/15",1446440400,47,5.8
22,"University Of Southern California (USC)","CS","MS","S16","Accepted","E-mail","11-Jan-15",1446350400,NA,NA,NA,NA,"International","1/11/15",1446350400,50,5.7
23,"Purdue University","CS","MS","S16","Rejected","E-mail","30-10-2015",1446177600,NA,NA,NA,NA,"International","30-10-2015",1446177600,53,4.8
24,"Purdue University","CS","PhD","S16","Rejected","Website","29-10-2015",1446091200,NA,NA,NA,NA,"International","29-10-2015",1446091200,53,4.8
25,"Iowa State University (ISU)","CS","MS","S16","Accepted","E-mail","28-10-2015",1446004800,NA,NA,NA,NA,"International","29-10-2015",1446091200,15,1.5
26,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Accepted","E-mail","27-10-2015",1445918400,NA,NA,NA,NA,"International","29-10-2015",1446091200,23,1.9
27,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Accepted","E-mail","23-10-2015",1445572800,NA,147,167,NA,"International","29-10-2015",1446091200,23,1.9
28,"Cornell University","CS","MEng","S16","Accepted","E-mail","28-10-2015",1446004800,NA,NA,NA,NA,"International","28-10-2015",1446004800,68,8.7
29,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Rejected","E-mail","27-10-2015",1445918400,3.5,144,167,3,"International","28-10-2015",1446004800,23,1.9
30,"Rutgers University","CS","MS","S16","Accepted","E-mail","28-10-2015",1446004800,3.7,155,165,4.5,"International","28-10-2015",1446004800,43,3.6
31,"Iowa State University (ISU)","CS","MS","S16","Accepted","E-mail","27-10-2015",1445918400,3.5,144,167,3,"International","27-10-2015",1445918400,15,1.5
32,"Virginia Tech","CS","MS","S16","Rejected","Other","23-10-2015",1445572800,NA,156,163,4,"International","23-10-2015",1445572800,39,2.4
33,"University Of Southern California (USC)","CS","MS","S16","Accepted","E-mail","22-10-2015",1445486400,3.5,144,167,3,"International","23-10-2015",1445572800,50,5.7
34,"Rutgers University","CS","MS","S16","Accepted","E-mail","23-10-2015",1445572800,NA,155,170,4,"International","23-10-2015",1445572800,43,3.6
35,"Washington University, St. Louis (WUSTL)","CS","MS","S16","Accepted","E-mail","13-10-2015",1444708800,NA,155,170,4,"International","23-10-2015",1445572800,NA,NA
36,"Johns Hopkins University (JHU)","CS","MS","S16","Accepted","E-mail","20-10-2015",1445313600,3.5,166,163,4,"International","21-10-2015",1445400000,22,2.4
37,"University Of Illinois, Chicago (UIC)","CS","MS","F15","Accepted","E-mail","4-Oct-15",1428638400,3.7,152,162,4.5,"International","21-10-2015",1445400000,33,2.8
38,"University Of Illinois, Chicago (UIC)","CS","MS","S16","Rejected","Website","10-Oct-15",1444449600,3.46,149,165,3.5,"International","20-10-2015",1445313600,33,2.8
39,"University Of Texas, Dallas (UT Dallas)","CS","MS","S16","Accepted","E-mail","17-09-2015",1442462400,3.46,149,165,3.5,"International","20-10-2015",1445313600,34,2.3
40,"Arizona State University (ASU)","CS","MS","S16","Accepted","Website","25-09-2015",1443153600,3.46,NA,NA,NA,"International","20-10-2015",1445313600,26,2.3
41,"Johns Hopkins University (JHU)","CS","MS","S16","Accepted","E-mail","20-10-2015",1445313600,NA,156,163,4,"International","20-10-2015",1445313600,22,2.4
42,"University Of Southern California (USC)","CS","MS","S16","Accepted","Website","10-Oct-15",1444449600,3.6,149,159,3,"International","18-10-2015",1445140800,50,5.7
43,"Texas A&M University, College Station (TAMU)","ECE","MS","S16","Accepted","E-mail","15-10-2015",1444881600,NA,NA,NA,NA,"International","16-10-2015",1444968000,38,3.1
44,"University Of Southern California (USC)","ECE","MS","S16","Accepted","E-mail","16-10-2015",1444968000,3.9,156,167,3.5,"International","16-10-2015",1444968000,50,5.7
45,"University Of Southern California (USC)","CS","MS","S16","Accepted","E-mail","10-Oct-15",1444449600,4,142,158,3,"International","11/10/15",1444536000,50,5.7
46,"University Of Texas, Dallas (UT Dallas)","ECE","MS","S16","Accepted","E-mail","23-10-2015",1445572800,4,147,163,2.5,"Other","10/10/15",1444449600,34,2.3
47,"University Of Texas, Arlington","CS","MS","F16","Accepted","Website","10-May-15",1444017600,4,157,169,4.5,"International","5/10/15",1444017600,15,1.8
48,"Arizona State University (ASU)","CS","MS","S16","Accepted","E-mail","10-Mar-15",1443844800,3.5,163,150,3.5,"Other","4/10/15",1443931200,26,2.3
49,"University Of Texas, Dallas (UT Dallas)","CS","MS","S16","Rejected","Website","10-Feb-15",1443758400,NA,NA,NA,NA,"International with US Degree","2/10/15",1443758400,34,2.3
50,"University Of Illinois, Urbana-Champaign (UIUC)","ECE","MS","S16","Accepted","E-mail","28-09-2015",1443412800,3.68,165,170,4.5,"International with US Degree","30-09-2015",1443585600,83,9.9
51,"University Of Texas, Dallas (UT Dallas)","CS","MS","S16","Rejected","Phone","17-09-2015",1442462400,NA,NA,NA,NA,"International with US Degree","30-09-2015",1443585600,34,2.3
52,"Arizona State University (ASU)","Other","MS","S16","Accepted","E-mail","18-09-2015",1442548800,3.2,146,161,3,"International","28-09-2015",1443412800,26,2.3
53,"University Of Texas, Dallas (UT Dallas)","CS","MS","S16","Rejected","Website","28-09-2015",1443412800,NA,NA,NA,NA,"International","28-09-2015",1443412800,34,2.3
54,"University Of Texas, Dallas (UT Dallas)","ECE","MS","S16","Accepted","E-mail","22-09-2015",1442894400,NA,152,166,3,"International","22-09-2015",1442894400,34,2.3
55,"University Of California, Irvine (UCI)","Other","PhD","F15","Accepted","E-mail","19-02-2015",1424322000,NA,NA,NA,NA,"American","11/9/15",1441944000,55,4.3
56,"University Of Illinois, Urbana-Champaign (UIUC)","CS","MS","F15","Rejected","Website","27-01-2015",1422334800,3.2,152,155,2.5,"International","27-08-2015",1440648000,83,9.9
57,"Michigan State University (MSU)","CS","PhD","F15","Accepted","E-mail","3-Mar-15",1425358800,3.71,143,160,3.5,"International with US Degree","10/8/15",1439179200,19,1.9
58,"University Of Illinois, Chicago (UIC)","ECE","MS","F15","Accepted","E-mail","6-Oct-15",1433908800,NA,NA,NA,NA,"American","10/8/15",1439179200,33,2.8
59,"Georgia Institute Of Technology (GTech)","CS","MS","F15","Accepted","E-mail","5-Jun-15",1430884800,NA,NA,NA,NA,"American","6/8/15",1438833600,73,6.7
60,"Harvard University","CS","PhD","F16","Accepted","E-mail","8-Apr-15",1438660800,3.6,160,170,4,"International","4/8/15",1438660800,29,4.2
61,"University Of California, Los Angeles (UCLA)","CS","MS","F15","Accepted","Phone","29-06-2015",1435550400,3.1,153,156,3.5,"International","29-07-2015",1438142400,37,5
62,"University Of Illinois, Urbana-Champaign (UIUC)","CS","MS","F15","Rejected","Website","24-05-2015",1432440000,3.96,155,163,5,"International","24-07-2015",1437710400,83,9.9
63,"Yale University","CS","MS","F16","Accepted","E-mail","21-07-2015",1437451200,3.6,155,165,3.5,"International","21-07-2015",1437451200,26,2.5
64,"University Of Texas, San Antonio (UTSA)","CS","PhD","F15","Rejected","E-mail","30-05-2015",1432958400,3.58,143,164,3,"International","1/7/15",1435723200,11,1.4
65,"University Of California, Davis (UCD)","ECE","PhD","F15","Rejected","E-mail","27-06-2015",1435377600,NA,NA,NA,NA,"International","28-06-2015",1435464000,28,2.9
66,"Texas A&M University, College Station (TAMU)","CS","PhD","F15","Rejected","Website","24-06-2015",1435118400,3.68,153,162,4,"International","28-06-2015",1435464000,38,3.1
67,"University Of California, Riverside (UCR)","CS","PhD","F15","Rejected","E-mail","22-05-2015",1432267200,NA,155,165,3.5,"American","26-06-2015",1435291200,36,2.8
68,"Georgia Institute Of Technology (GTech)","CS","MS","F15","Accepted","E-mail","13-06-2015",1434168000,3.3,160,170,3,"International","23-06-2015",1435032000,73,6.7
69,"Carnegie Mellon University (CMU)","ECE","PhD","F15","Rejected","E-mail","20-06-2015",1434772800,NA,NA,NA,NA,"International","20-06-2015",1434772800,152,18.1
70,"Carnegie Mellon University (CMU)","ECE","MS","F15","Rejected","E-mail","19-06-2015",1434686400,NA,NA,NA,NA,"International","19-06-2015",1434686400,152,18.1
71,"Boston University (BU)","CS","MS","F15","Accepted","E-mail","6-May-15",1433476800,NA,NA,NA,NA,"International","5/6/15",1433476800,22,2.5
72,"Carnegie Mellon University (CMU)","ECE","MS","F15","Accepted","E-mail","6-Feb-15",1433217600,3.3,152,162,4,"International","5/6/15",1433476800,152,18.1
73,"University Of Southern California (USC)","CS","MS","F15","Rejected","E-mail","6-Apr-15",1433390400,NA,NA,NA,NA,"International","4/6/15",1433390400,50,5.7
74,"University Of California, Davis (UCD)","CS","PhD","F15","Rejected","Website","13-05-2015",1431489600,3.85,156,168,4,"American","2/6/15",1433217600,28,2.9
75,"Texas A&M University, College Station (TAMU)","CS","MS","F15","Rejected","Postal Service","30-05-2015",1432958400,3.15,157,165,4.5,"International","1/6/15",1433131200,38,3.1
76,"University Of Wisconsin, Madison","CS","MS","F15","Accepted","E-mail","29-05-2015",1432872000,NA,NA,NA,NA,"International","29-05-2015",1432872000,48,5.9
77,"Virginia Tech","CS","PhD","F15","Rejected","Website","29-05-2015",1432872000,NA,NA,NA,NA,"International","29-05-2015",1432872000,39,2.4
78,"University Of Southern California (USC)","CS","MS","F15","Rejected","Other","24-05-2015",1432440000,NA,NA,NA,NA,"International","25-05-2015",1432526400,50,5.7
79,"University Of California, Berkeley (UCB)","CS","MS","F15","Rejected","E-mail","19-02-2015",1424322000,NA,NA,NA,NA,"American","23-05-2015",1432353600,83,11.1
80,"University Of Southern California (USC)","CS","MS","F15","Accepted","E-mail","23-05-2015",1432353600,NA,NA,NA,NA,"American","23-05-2015",1432353600,50,5.7
81,"University Of California, San Diego (UCSD)","CS","MS","F15","Accepted","E-mail","15-04-2015",1429070400,NA,NA,NA,NA,"American","23-05-2015",1432353600,53,6.9
82,"Boston University (BU)","CS","MS","F15","Accepted","E-mail","15-05-2015",1431662400,NA,164,163,4,"International","23-05-2015",1432353600,22,2.5
83,"University Of Southern California (USC)","CS","MS","F15","Accepted","Website","22-05-2015",1432267200,NA,NA,NA,NA,"International","22-05-2015",1432267200,50,5.7
84,"University Of Southern California (USC)","CS","MS","F15","Accepted","E-mail","21-05-2015",1432180800,3.1,166,161,NA,"International","22-05-2015",1432267200,50,5.7
85,"Nothwestern University","CS","MS","F15","Rejected","E-mail","22-05-2015",1432267200,NA,NA,NA,NA,"International","22-05-2015",1432267200,37,3.4
86,"Georgia Institute Of Technology (GTech)","ECE","MS","F15","Accepted","E-mail","21-05-2015",1432180800,3.4,157,161,4.5,"American","21-05-2015",1432180800,73,6.7
87,"University Of Florida, Gainesville (UFL)","ECE","PhD","F15","Accepted","E-mail","20-05-2015",1432094400,NA,NA,NA,NA,"International","21-05-2015",1432180800,23,1.9
88,"Boston University (BU)","CS","MS","F15","Accepted","E-mail","14-05-2015",1431576000,3.3,161,166,4,"International","20-05-2015",1432094400,22,2.5
89,"University Of California, Riverside (UCR)","CS","MS","F15","Rejected","E-mail","18-05-2015",1431921600,3,140,161,2,"International","20-05-2015",1432094400,36,2.8
90,"University Of Southern California (USC)","CS","PhD","F15","Rejected","E-mail","19-05-2015",1432008000,3.44,159,156,3,"American","19-05-2015",1432008000,50,5.7
91,"Purdue University","ECE","MS","F15","Rejected","E-mail","19-05-2015",1432008000,NA,NA,NA,NA,"International","19-05-2015",1432008000,53,4.8
92,"University Of Southern California (USC)","ECE","MS","F15","Rejected","Website","16-05-2015",1431748800,3.5,157,168,4.5,"International","18-05-2015",1431921600,50,5.7
93,"University Of Texas, Austin (UT Austin)","ECE","PhD","F15","Accepted","Website","18-05-2015",1431921600,NA,NA,NA,NA,"International with US Degree","18-05-2015",1431921600,42,5.4
94,"University Of California, Davis (UCD)","CS","MS","F15","Rejected","E-mail","17-05-2015",1431835200,3.94,144,168,3,"International with US Degree","18-05-2015",1431921600,28,2.9
95,"Georgia Institute Of Technology (GTech)","CS","PhD","F15","Rejected","Website","15-05-2015",1431662400,3.97,162,165,4,"American","15-05-2015",1431662400,73,6.7
96,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Wait listed","Website","15-05-2015",1431662400,NA,NA,NA,NA,"International with US Degree","15-05-2015",1431662400,37,3.1
97,"University Of Chicago (UChicago)","CS","MS","F15","Accepted","E-mail","5-Nov-15",1431316800,NA,NA,NA,NA,"American","15-05-2015",1431662400,23,2.7
98,"Boston University (BU)","CS","MS","F15","Accepted","E-mail","26-03-2015",1427342400,NA,NA,NA,NA,"International","15-05-2015",1431662400,22,2.5
99,"New York University (NYU)","CS","PhD","F15","Rejected","E-mail","14-05-2015",1431576000,NA,NA,NA,NA,"International","14-05-2015",1431576000,46,4.3
100,"University Of Kansas","CS","PhD","F15","Rejected","E-mail","13-05-2015",1431489600,NA,NA,NA,NA,"International","14-05-2015",1431576000,11,1.2
101,"Drexel University","ECE","PhD","F15","Accepted","E-mail","13-05-2015",1431489600,NA,NA,NA,NA,"International","14-05-2015",1431576000,12,1.5
102,"Boston University (BU)","CS","MS","F15","Accepted","E-mail","21-04-2015",1429588800,NA,NA,NA,NA,"International","14-05-2015",1431576000,22,2.5
103,"New York University (NYU)","CS","PhD","F15","Rejected","E-mail","13-05-2015",1431489600,3.8,158,162,3.5,"International","14-05-2015",1431576000,46,4.3
104,"University Of California, Davis (UCD)","CS","PhD","F15","Rejected","E-mail","13-05-2015",1431489600,3.83,165,166,3,"International","14-05-2015",1431576000,28,2.9
105,"University Of California, Davis (UCD)","CS","MS","F15","Rejected","Website","13-05-2015",1431489600,NA,NA,NA,NA,"International","13-05-2015",1431489600,28,2.9
106,"Ohio State University (OSU)","ECE","PhD","F15","Rejected","E-mail","13-05-2015",1431489600,NA,NA,NA,NA,"International with US Degree","13-05-2015",1431489600,35,3.4
107,"University Of California, Davis (UCD)","CS","PhD","F15","Rejected","Website","13-05-2015",1431489600,3.8,154,170,4.5,"Other","13-05-2015",1431489600,28,2.9
108,"University Of Texas, Austin (UT Austin)","ECE","PhD","F15","Accepted","E-mail","3-Jan-15",1425186000,NA,NA,NA,NA,"International","13-05-2015",1431489600,42,5.4
109,"University Of Southern California (USC)","ECE","MS","F15","Accepted","E-mail","5-Dec-15",1431403200,NA,NA,NA,NA,"International","13-05-2015",1431489600,50,5.7
110,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Wait listed","Website","13-05-2015",1431489600,NA,NA,NA,NA,"International with US Degree","13-05-2015",1431489600,37,3.1
111,"New York University (NYU)","CS","PhD","F15","Rejected","E-mail","13-05-2015",1431489600,3.26,157,169,3,"International","13-05-2015",1431489600,46,4.3
112,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Dec-15",1431403200,NA,NA,NA,NA,"International with US Degree","12/5/15",1431403200,37,3.1
113,"University Of Southern California (USC)","CS","MS","F15","Rejected","Website","5-Dec-15",1431403200,NA,NA,NA,NA,"International with US Degree","12/5/15",1431403200,50,5.7
114,"University Of Southern California (USC)","CS","MS","F15","Accepted","E-mail","5-Dec-15",1431403200,3.7,151,168,3.5,"International","12/5/15",1431403200,50,5.7
115,"University Of Southern California (USC)","CS","MS","F15","Accepted","E-mail","5-Dec-15",1431403200,NA,NA,NA,NA,"International","12/5/15",1431403200,50,5.7
116,"University Of Southern California (USC)","CS","MS","F15","Rejected","E-mail","5-Nov-15",1431316800,NA,154,159,3,"International","11/5/15",1431316800,50,5.7
117,"Cornell Tech","CS","MS","F15","Rejected","E-mail","5-Nov-15",1431316800,NA,NA,NA,NA,"American","11/5/15",1431316800,68,8.7
118,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","28-04-2015",1430193600,3.2,170,165,4,"American","11/5/15",1431316800,37,3.1
119,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Wait listed","Website","5-Sep-15",1431144000,NA,160,170,4,"International","9/5/15",1431144000,37,3.1
120,"University Of Southern California (USC)","CS","MS","F15","Rejected","E-mail","5-Aug-15",1431057600,NA,165,164,5,"International","8/5/15",1431057600,50,5.7
121,"New York University (NYU)","CS","MS","F15","Rejected","E-mail","30-04-2015",1430366400,NA,NA,NA,NA,"American","8/5/15",1431057600,46,4.3
122,"University Of California, Davis (UCD)","CS","MS","F15","Accepted","E-mail","5-Aug-15",1431057600,3.3,161,158,4.5,"American","8/5/15",1431057600,28,2.9
123,"University Of Southern California (USC)","CS","MS","F15","Accepted","E-mail","5-Aug-15",1431057600,3.15,156,158,4,"American","8/5/15",1431057600,50,5.7
124,"University Of Southern California (USC)","CS","MS","F15","Accepted","E-mail","5-Aug-15",1431057600,3.15,156,158,4,"American","8/5/15",1431057600,50,5.7
125,"Drexel University","ECE","PhD","F15","Accepted","E-mail","5-Feb-15",1430539200,3.71,156,168,3.5,"International","8/5/15",1431057600,12,1.5
126,"University Of Maryland, Baltimore County (UMBC)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,3.6,159,164,3.5,"International","8/5/15",1431057600,15,1.5
127,"University Of Southern California (USC)","CS","PhD","F15","Rejected","Website","5-Aug-15",1431057600,3.91,152,166,4,"International","8/5/15",1431057600,50,5.7
128,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Aug-15",1431057600,3.97,150,168,4.5,"International","8/5/15",1431057600,37,3.1
129,"Rutgers University","CS","MS","F15","Rejected","Website","5-Aug-15",1431057600,NA,NA,NA,NA,"International","8/5/15",1431057600,43,3.6
130,"Rutgers University","CS","PhD","F15","Rejected","E-mail","5-Aug-15",1431057600,3.55,160,167,3.5,"International","8/5/15",1431057600,43,3.6
131,"University Of Southern California (USC)","CS","MS","F15","Accepted","Website","5-Jul-15",1430971200,NA,NA,NA,NA,"International","7/5/15",1430971200,50,5.7
132,"George Mason University (GMU)","CS","MS","F15","Accepted","E-mail","16-03-2015",1426478400,3.3,143,160,3,"International","7/5/15",1430971200,28,2
133,"North Caroline State University (NCSU)","ECE","MS","F15","Rejected","Website","5-Jun-15",1430884800,3.1,156,161,3,"International","7/5/15",1430971200,30,2.3
134,"North Caroline State University (NCSU)","ECE","MS","F15","Rejected","Website","5-Jul-15",1430971200,NA,NA,NA,NA,"International","7/5/15",1430971200,30,2.3
135,"Michigan State University (MSU)","CS","PhD","F15","Rejected","Website","5-Jul-15",1430971200,3.73,152,168,3,"Other","7/5/15",1430971200,19,1.9
136,"Michigan State University (MSU)","CS","PhD","F15","Rejected","Website","5-Jul-15",1430971200,NA,NA,NA,NA,"International","7/5/15",1430971200,19,1.9
137,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,NA,150,165,4,"International","6/5/15",1430884800,37,3.1
138,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,3.5,140,160,3,"International","6/5/15",1430884800,37,3.1
139,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,NA,NA,NA,NA,"International with US Degree","6/5/15",1430884800,37,3.1
140,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,NA,163,170,3.5,"Other","6/5/15",1430884800,37,3.1
141,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,3.6,159,164,3.5,"International","6/5/15",1430884800,37,3.1
142,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,NA,151,159,NA,"International","6/5/15",1430884800,37,3.1
143,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","Website","5-Jun-15",1430884800,3.74,154,167,3.5,"International","6/5/15",1430884800,37,3.1
144,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Rejected","E-mail","5-May-15",1430798400,4,162,163,4,"International","5/5/15",1430798400,37,3.1
145,"University Of California, Davis (UCD)","CS","MS","F15","Rejected","E-mail","30-04-2015",1430366400,NA,NA,NA,NA,"International","5/5/15",1430798400,28,2.9
146,"University Of Southern California (USC)","CS","MS","F15","Rejected","Website","5-May-15",1430798400,3.6,161,168,3.5,"American","5/5/15",1430798400,50,5.7
147,"University Of Southern California (USC)","CS","MS","F15","Accepted","Website","5-May-15",1430798400,3.6,161,168,3.5,"American","5/5/15",1430798400,50,5.7
148,"University Of Southern California (USC)","CS","MS","F15","Accepted","Website","4-Dec-15",1428811200,3.6,161,168,3.5,"American","5/5/15",1430798400,50,5.7
149,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
150,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
151,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
152,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
153,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
154,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
155,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
156,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,156,153,3,"Other","5/5/15",1430798400,37,3.1
157,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,168,164,5,"Other","5/5/15",1430798400,37,3.1
158,"Boston University (BU)","CS","PhD","F15","Rejected","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"International","5/5/15",1430798400,22,2.5
159,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,158,160,4.5,"Other","5/5/15",1430798400,37,3.1
160,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
161,"University Of Southern California (USC)","CS","MS","F15","Rejected","Website","5-May-15",1430798400,3.5,158,168,4,"International","5/5/15",1430798400,50,5.7
162,"University Of Southern California (USC)","CS","MS","F15","Rejected","E-mail","5-May-15",1430798400,3.4,150,163,2.5,"International","5/5/15",1430798400,50,5.7
163,"University Of Southern California (USC)","CS","PhD","F15","Rejected","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"International","5/5/15",1430798400,50,5.7
164,"Nothwestern University","CS","MS","F15","Accepted","E-mail","29-04-2015",1430280000,NA,161,136,2.5,"International","5/5/15",1430798400,37,3.4
165,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
166,"University Of Minnesota, Twin Cities (UMN)","CS","MS","F15","Accepted","E-mail","5-May-15",1430798400,NA,NA,NA,NA,"Other","5/5/15",1430798400,37,3.1
167,"University Of Pennsylvania (UPenn)","IS","MS","F15","Accepted","Website","5-Apr-15",1430712000,3.6,165,164,4,"American","4/5/15",1430712000,46,5.6
168,"University Of Tennessee, Knoxville","ECE","MS","F15","Wait listed","Other","5-Apr-15",1430712000,3.8,144,165,3.5,"International","4/5/15",1430712000,11,1.6
169,"University Of Southern California (USC)","CS","MS","F15","Rejected","Website","5-Apr-15",1430712000,NA,NA,NA,NA,"American","4/5/15",1430712000,50,5.7
170,"Texas A&M University, College Station (TAMU)","ECE","PhD","F15","Accepted","Website","27-04-2015",1430107200,3.65,159,165,3.5,"International","4/5/15",1430712000,38,3.1
171,"Stevens Institute Of Technology (SIT)","CS","MS","F15","Accepted","Website","2-Apr-15",1423026000,NA,NA,NA,NA,"American","4/5/15",1430712000,10,1.5
172,"University Of California, Davis (UCD)","CS","MS","F15","Rejected","Website","5-Mar-15",1430625600,NA,NA,NA,NA,"International","3/5/15",1430625600,28,2.9
173,"University Of California, Davis (UCD)","CS","MS","F15","Rejected","E-mail","5-Mar-15",1430625600,NA,NA,NA,NA,"International","3/5/15",1430625600,28,2.9
